target_tps,container,avg_cpu_percent,max_cpu_percent,avg_memory_percent,max_memory_percent,avg_memory_used_mib,max_memory_used_mib
50,orderer.example.com,12.193333333333333,18.55,1.6233333333333333,1.84,128.79999999999998,145.9
100,orderer.example.com,11.056666666666667,12.2,1.9233333333333336,1.95,152.13333333333333,154.2
150,orderer.example.com,25.49,26.88,2.06,2.07,163.23333333333335,163.9
200,orderer.example.com,24.23333333333333,25.58,2.096666666666667,2.14,166.03333333333333,169.4
250,orderer.example.com,32.04666666666667,45.45,2.0833333333333335,2.09,165.0,165.7
50,peer0.org1.example.com,26.899999999999995,32.37,2.7566666666666664,2.76,218.20000000000002,218.6
100,peer0.org1.example.com,42.42666666666667,60.0,2.8266666666666667,2.89,223.96666666666667,229.0
150,peer0.org1.example.com,57.076666666666675,70.89,2.9299999999999997,2.95,232.03333333333333,233.8
200,peer0.org1.example.com,84.36333333333333,95.75,3.0700000000000003,3.08,243.26666666666668,244.1
250,peer0.org1.example.com,85.73333333333333,94.86,3.103333333333333,3.13,245.73333333333335,248.0
50,peer0.org2.example.com,25.26,45.93,2.513333333333333,2.55,199.26666666666665,202.3
100,peer0.org2.example.com,28.790000000000003,33.02,2.67,2.69,211.5666666666667,213.3
150,peer0.org2.example.com,32.70333333333333,35.06,2.7000000000000006,2.71,214.16666666666666,214.9
200,peer0.org2.example.com,58.06333333333333,65.76,2.793333333333333,2.8,221.26666666666668,221.6
250,peer0.org2.example.com,54.74,70.95,2.8366666666666664,2.84,224.73333333333335,225.3
