target_tps,sequence_number,asset_id,status,error_message,transaction_id,t1_proposal_sent_ms,t2_endorsement_received_ms,t3_submitted_to_orderer_ms,t4_committed_ms,endorsement_delay_ms,ordering_delay_ms,commit_delay_ms,total_latency_ms
100,9,bottleneck_100_9_1780391815827_341841,success,,27bb88e13408648421fa097a8c65c4bf41c45128424d68c713953406b7123519,1780391815827,1780391815833,1780391815835,1780391815869,6,2,34,42
100,5,bottleneck_100_5_1780391815787_93093,success,,8d3e71c459215b3bb8f45ebe4d04e26acfc11c0b2b9a0487e4c15dbe6e2a6ce8,1780391815787,1780391815793,1780391815795,1780391815870,6,2,75,83
100,4,bottleneck_100_4_1780391815778_191098,success,,7aa002793c320d02fc7c2d88b557b60440e0a7f3fdf71f111c0c3a7ff64e758e,1780391815778,1780391815786,1780391815789,1780391815870,8,3,81,92
100,2,bottleneck_100_2_1780391815757_742188,success,,5c639483ae481a2a61872397b441dc3b0bfb0f2bd67173ab4b7525b3d086e1a4,1780391815757,1780391815765,1780391815767,1780391815870,8,2,103,113
100,8,bottleneck_100_8_1780391815818_545270,success,,7f997fa8c4b5f342d5ee39ce4b33d77256c402148976a664a0fe7a0201c879d4,1780391815818,1780391815825,1780391815828,1780391815870,7,3,42,52
100,1,bottleneck_100_1_1780391815747_50060,success,,98a420fb36960b7f372f3532a9ab451d258add6d8c5845d97c12c41d102590dc,1780391815747,1780391815759,1780391815762,1780391815870,12,3,108,123
100,0,bottleneck_100_0_1780391815737_456287,success,,5fa251954c96181e1ddeb57c7c266248201b3f0e21c09558c1305203d6653426,1780391815737,1780391815756,1780391815760,1780391815871,19,4,111,134
100,3,bottleneck_100_3_1780391815768_463656,success,,dbd13f2f77bc07e887433cb890245a5bebf40c0635ed42cee41700bf642b10ea,1780391815768,1780391815776,1780391815779,1780391815871,8,3,92,103
100,6,bottleneck_100_6_1780391815798_580916,success,,64657cde650f7abf9b969679d65f626e824be1b90947ab488ae7ca2b0dccae7f,1780391815798,1780391815805,1780391815807,1780391815871,7,2,64,73
100,7,bottleneck_100_7_1780391815808_87642,success,,c451b6c91b4ce5517e028199a5bd98428db0952bd9cebd893d499eaef815ef34,1780391815808,1780391815814,1780391815816,1780391815871,6,2,55,63
100,19,bottleneck_100_19_1780391815928_898558,success,,58befab99d6be265e8f5a7a72638601aeafbf84dd33c3a5b91f133a3d06d2de6,1780391815928,1780391815933,1780391815935,1780391815967,5,2,32,39
100,10,bottleneck_100_10_1780391815837_998160,success,,fae17d76ddb2f9a62698846bae7caaac089d9e5b2f048eb0860bb009ef9feb6e,1780391815837,1780391815854,1780391815859,1780391815967,17,5,108,130
100,14,bottleneck_100_14_1780391815878_292302,success,,7928233cc426a720ef30a06089aab885b6f9b6f40d5c7561df6be015287418bc,1780391815878,1780391815884,1780391815888,1780391815967,6,4,79,89
100,11,bottleneck_100_11_1780391815848_712943,success,,ac4652ee3dc71f2a832a0b677bc5b38bfd1df1a7b113d9bf231e49429cf29524,1780391815848,1780391815864,1780391815866,1780391815968,16,2,102,120
100,13,bottleneck_100_13_1780391815867_313604,success,,2973b45652968e5dc9f7a7ddae3ab396797f1ae332c874b7da31255c926f3527,1780391815867,1780391815881,1780391815885,1780391815968,14,4,83,101
100,12,bottleneck_100_12_1780391815858_704211,success,,c4c0448cf49bf3ac9c7e2733e4000ae376d3c2edc0416ba14f3d2a37beaffbd3,1780391815858,1780391815882,1780391815886,1780391815968,24,4,82,110
100,16,bottleneck_100_16_1780391815897_706736,success,,44a90991ab20744f7e046e0fcdb6e5aaac3fe6eafbef50f68dc07cf6dbd74860,1780391815897,1780391815903,1780391815905,1780391815968,6,2,63,71
100,15,bottleneck_100_15_1780391815887_765580,success,,d3a8c1eb816caa217ad5364d1ea591fc467e62412c9fbb9aef62faaa2c468478,1780391815887,1780391815893,1780391815894,1780391815968,6,1,74,81
100,17,bottleneck_100_17_1780391815907_633572,success,,25d810e632e469ea8f62ac37c080a44a3708fbd40f9f791e9f4ce323c7a92f0b,1780391815907,1780391815912,1780391815914,1780391815969,5,2,55,62
100,18,bottleneck_100_18_1780391815917_387307,success,,6205c1bc32ddd7dcfcbe29fc57ed025023275e737914d20ce0b6b9f2c2a06c77,1780391815917,1780391815923,1780391815925,1780391815969,6,2,44,52
100,20,bottleneck_100_20_1780391815938_308356,success,,d8b41d3ddb9d553e4916b1c338f7c0bde392670bc96a640dbfeddc4e1556af2f,1780391815938,1780391815954,1780391815957,1780391816057,16,3,100,119
100,29,bottleneck_100_29_1780391816027_93007,success,,327e7ae9a75e6321ccbde76c7968e9137d9c0e53de9e2aae9c55515d36a562d2,1780391816027,1780391816032,1780391816034,1780391816057,5,2,23,30
100,24,bottleneck_100_24_1780391815978_404444,success,,a0d4efebcb87052bb792a1956df8ab4520e2cd88d4fb4f6d192bb37d775a220c,1780391815978,1780391815983,1780391815985,1780391816057,5,2,72,79
100,25,bottleneck_100_25_1780391815988_916097,success,,0b8aafbf5e22b09faabe40ad24eca3c34183f8610288683e2a2222fdef5c322f,1780391815988,1780391815995,1780391815999,1780391816057,7,4,58,69
100,21,bottleneck_100_21_1780391815947_564120,success,,296aedec9cf25d4769579428db121ebbdd1e18f9f336352460aa0bde25c4e2e7,1780391815947,1780391815968,1780391815973,1780391816057,21,5,84,110
100,26,bottleneck_100_26_1780391815998_631386,success,,9c6f72a7d06bb16c8c6ec3a5a0cb82385a8fd0ac78945a725b5816a8991430c1,1780391815998,1780391816005,1780391816007,1780391816057,7,2,50,59
100,27,bottleneck_100_27_1780391816007_772340,success,,3acd281a5d91d7e74507574be9301a129fc987960eeb37ca995ff5fc320608d0,1780391816007,1780391816012,1780391816014,1780391816057,5,2,43,50
100,22,bottleneck_100_22_1780391815958_629682,success,,d4a2792775613b056f7121f75e2c326715d99d921e727c6aebbb42793b72bc0b,1780391815958,1780391815972,1780391815974,1780391816057,14,2,83,99
100,23,bottleneck_100_23_1780391815969_790107,success,,00d343122a98d4104be45f5318b21606024ffbbde503ca707e5245103b4d6a90,1780391815969,1780391815975,1780391815977,1780391816057,6,2,80,88
100,28,bottleneck_100_28_1780391816018_387946,success,,41368511ea72117083be3823251af4ad9a99d945ba0675c489dcaad2c1673401,1780391816018,1780391816023,1780391816025,1780391816057,5,2,32,39
100,33,bottleneck_100_33_1780391816068_334641,success,,00a7f35fc64abc70fb112cd3ab106a57b9cd57f04544277e27199b335de132f9,1780391816068,1780391816073,1780391816076,1780391816156,5,3,80,88
100,39,bottleneck_100_39_1780391816127_798337,success,,fa8c68920b37b45d5582241bce63929324d0bca06ce4c0d951501e5bfe335925,1780391816127,1780391816133,1780391816135,1780391816156,6,2,21,29
100,34,bottleneck_100_34_1780391816078_51608,success,,44e2e4fdb01459dbe5cf0d03c313e67f463aa9a5e59ebd145c2f15a2ad680f9c,1780391816078,1780391816085,1780391816088,1780391816156,7,3,68,78
100,30,bottleneck_100_30_1780391816037_67834,success,,56f9a69fcab0c3ed3cea91a7a72158d746d2fbff6f0c4d186295d86e02a59ffb,1780391816037,1780391816050,1780391816052,1780391816156,13,2,104,119
100,32,bottleneck_100_32_1780391816058_783793,success,,94d8fe483fb7abfe52dd3ea676db4f0f820c4b4b236910143ddad39ee582288d,1780391816058,1780391816063,1780391816065,1780391816156,5,2,91,98
100,31,bottleneck_100_31_1780391816047_749151,success,,48d67f0b6a88c718b20200d0030fd32adcf70d3abe5c583ac9b0dd1c35402e97,1780391816047,1780391816060,1780391816062,1780391816156,13,2,94,109
100,36,bottleneck_100_36_1780391816097_497269,success,,edfe40017a8be3dcc836e7ae0a5572b4bad88b25a036281f3d554e089bd94a18,1780391816097,1780391816103,1780391816105,1780391816156,6,2,51,59
100,35,bottleneck_100_35_1780391816087_607089,success,,e3731a0fcb7c17f99ca2df041fcdddfa5d8ba3771aabf1ede4d611800e900b25,1780391816087,1780391816093,1780391816094,1780391816156,6,1,62,69
100,37,bottleneck_100_37_1780391816108_665590,success,,2db4c6cdda6c71ad59ff8bba08994f3eaa0e26e3c50735bf7b076d500fd8e009,1780391816108,1780391816113,1780391816114,1780391816156,5,1,42,48
100,38,bottleneck_100_38_1780391816118_536232,success,,31ab179ce9fdd2583e4f0163d8c266b352488927547fb1d41a77f4e352569692,1780391816118,1780391816124,1780391816126,1780391816156,6,2,30,38
100,49,bottleneck_100_49_1780391816227_577830,success,,9a28071322909b35e1e3ddad5bf136dcd402aeb8dad8324a1cc1b6184aa5d69c,1780391816227,1780391816232,1780391816234,1780391816259,5,2,25,32
100,40,bottleneck_100_40_1780391816137_146671,success,,f5711d4b1f554d16b7a25da07de76e5fa24bbfa2c65a8e71d19c2bd4ba696dd3,1780391816137,1780391816144,1780391816148,1780391816260,7,4,112,123
100,42,bottleneck_100_42_1780391816158_128402,success,,a84fb39c5b7e29206c0447ee4ff72dcbd44a977d51cd4c375a76d7b4b3e6ebbf,1780391816158,1780391816164,1780391816166,1780391816260,6,2,94,102
100,41,bottleneck_100_41_1780391816147_228717,success,,2dd517f81aa90c0dc8542746a1f43e18f2692358f099b051a1f205c3a8fcab7d,1780391816147,1780391816165,1780391816168,1780391816260,18,3,92,113
100,43,bottleneck_100_43_1780391816167_975,success,,409e7878233eccaece0491941df0d3efe5e7df74ab8156b9b58dc889f867bc9d,1780391816167,1780391816173,1780391816176,1780391816260,6,3,84,93
100,44,bottleneck_100_44_1780391816177_179816,success,,feb32abaaaa1c4af6ad7e9b2cafe35b3343aa33ab19349d76f761f068747a4d6,1780391816177,1780391816182,1780391816184,1780391816260,5,2,76,83
100,45,bottleneck_100_45_1780391816188_490739,success,,16fc64ab2d89ac5b9a5f2adc02b42d52d202c27a06a575854ec0544d55c6cff4,1780391816188,1780391816194,1780391816196,1780391816260,6,2,64,72
100,46,bottleneck_100_46_1780391816197_679302,success,,9b8e222657c78ea3d476de71c2fb8daa47a30980071c973430b7d3763f98b305,1780391816197,1780391816202,1780391816205,1780391816260,5,3,55,63
