target_tps,sequence_number,asset_id,status,error_message,transaction_id,t1_proposal_sent_ms,t2_endorsement_received_ms,t3_submitted_to_orderer_ms,t4_committed_ms,endorsement_delay_ms,ordering_delay_ms,commit_delay_ms,total_latency_ms
50,17,bottleneck_50_17_1780391748112_455954,success,,e315cdd66229b034ce5a7cb04ebeaab16336c2a07b2a7289785f4278dd8989ff,1780391748112,1780391748237,1780391748343,1780391748594,125,106,251,482
50,10,bottleneck_50_10_1780391747973_280623,success,,6493e361fe2d5a189b59a135961bbe91883c9c34a5c9a054925a0bcf6304e3ff,1780391747973,1780391748241,1780391748324,1780391748594,268,83,270,621
50,3,bottleneck_50_3_1780391747832_254065,success,,a0da28bf5a4de72bb8373c5699efb285ab5391d61a00a445cd94579f3140c7a0,1780391747832,1780391748244,1780391748325,1780391748595,412,81,270,763
50,14,bottleneck_50_14_1780391748052_793233,success,,5644c9c4a128a4ed7bd57c681fa323644a0273c0f6f1510ddde40f4512c49884,1780391748052,1780391748224,1780391748326,1780391748595,172,102,269,543
50,16,bottleneck_50_16_1780391748092_893244,success,,73b781dd8666047196719c3201841d2ba95a17ea8a0874b19c8ca271e6dc8c5d,1780391748092,1780391748256,1780391748327,1780391748595,164,71,268,503
50,1,bottleneck_50_1_1780391747792_986854,success,,b7c7b07834dc280cb133f45d474c1a63ba4191fdb3e57ba37742a2a70600eb43,1780391747792,1780391748223,1780391748327,1780391748595,431,104,268,803
50,12,bottleneck_50_12_1780391748012_654831,success,,3b6aca68b0a4c73902b46ce4a2be4ca7209f33666e67d599bf77d7a494da0c0c,1780391748012,1780391748215,1780391748328,1780391748595,203,113,267,583
50,11,bottleneck_50_11_1780391747992_894968,success,,ad29da93d072d52e79048364efa922dedbc14a02308afa8ce5a444876c6b0776,1780391747992,1780391748211,1780391748329,1780391748595,219,118,266,603
50,22,bottleneck_50_22_1780391748212_215374,success,,d9c8e4ccc035346e9932bd5b2b865b97d817e6647dec929cdd0d38872375135f,1780391748212,1780391748252,1780391748330,1780391748595,40,78,265,383
50,23,bottleneck_50_23_1780391748232_875883,success,,198176b431f8f46485eac590bbb4c53699dc6520fbada594241d78e0c36851c8,1780391748232,1780391748259,1780391748322,1780391748595,27,63,273,363
50,15,bottleneck_50_15_1780391748072_737247,success,,66eaff17c0be6b9aa14951885d90eb21105f4266268e518336dec2710c3bb230,1780391748072,1780391748236,1780391748358,1780391748630,164,122,272,558
50,4,bottleneck_50_4_1780391747852_901110,success,,42ca27271ee05d26fa384557f5197514c328906cbe5d384470a52bc13252a8ff,1780391747852,1780391748220,1780391748344,1780391748630,368,124,286,778
50,26,bottleneck_50_26_1780391748292_964618,success,,3bb03e7f452e5329c6bae2e09b58abaeba944d3c34d1601925c348449acd713d,1780391748292,1780391748318,1780391748341,1780391748630,26,23,289,338
50,6,bottleneck_50_6_1780391747892_646747,success,,baed17c90a35f1e8431a62db115b28b214288bf8d5a03752f43d673a47537451,1780391747892,1780391748248,1780391748349,1780391748630,356,101,281,738
50,25,bottleneck_50_25_1780391748272_556753,success,,fff9a44d1c738acd72120a14597fcf07f3b3ddc6bc7d14521b96ba495960926b,1780391748272,1780391748284,1780391748345,1780391748630,12,61,285,358
50,5,bottleneck_50_5_1780391747873_719322,success,,6ca7d726921c5700762c45b1875e7118944b571708443594aaadf4727b9dc5e4,1780391747873,1780391748243,1780391748347,1780391748630,370,104,283,757
50,21,bottleneck_50_21_1780391748192_21428,success,,d894c1b69cd4c39ce3cdc65f542570ff8d2be1af7d4f79a94c04d6041266d43d,1780391748192,1780391748247,1780391748346,1780391748630,55,99,284,438
50,0,bottleneck_50_0_1780391747771_361034,success,,b9f432e06a1555225dc7dd4004b2fc88863891b8bf81f3963b3427618042918e,1780391747771,1780391748240,1780391748350,1780391748630,469,110,280,859
50,24,bottleneck_50_24_1780391748253_721590,success,,f5812f9c582efa816b211475c3b86010d47ff47fce245ace8bcb061daaae02a3,1780391748253,1780391748274,1780391748352,1780391748630,21,78,278,377
50,2,bottleneck_50_2_1780391747812_821287,success,,66cf8cd22561ad14c347f5aa8268f15a93a7ccca60ff770ca07fef8481eeeba5,1780391747812,1780391748213,1780391748353,1780391748630,401,140,277,818
50,7,bottleneck_50_7_1780391747912_414954,success,,09d04653e9b816f1fab6b51de9ba948fcde1d72531454b70b4ce2f5c2c84db02,1780391747912,1780391748219,1780391748364,1780391748662,307,145,298,750
50,19,bottleneck_50_19_1780391748152_277319,success,,b15d517ca1be1cf16b7f1577bf7e7d0cae26ca508ba248833d9ffbc4a803e811,1780391748152,1780391748246,1780391748362,1780391748662,94,116,300,510
50,13,bottleneck_50_13_1780391748032_675991,success,,bf47ed0f137a803db76c5aa96aac15e465abe92039fe9d1932c0dac91d8d7305,1780391748032,1780391748253,1780391748369,1780391748662,221,116,293,630
50,8,bottleneck_50_8_1780391747932_134479,success,,df31f91b0f0b3d3e1c24c518d8e86c7ebc4d73fc9950a3031d2130cdfc7f907f,1780391747932,1780391748251,1780391748374,1780391748662,319,123,288,730
50,20,bottleneck_50_20_1780391748173_735030,success,,fa6baa10de3fbcc293347cf179fc1f7a924b6c767ff453336560403a0b94b4f7,1780391748173,1780391748218,1780391748371,1780391748662,45,153,291,489
