second,completed_txs,mean_latency_ms,max_latency_ms,p95_latency_ms,p99_latency_ms,target_tps,run_dir
0,54,61.27777777777778,108,105.35,106.94,50,/Users/tanmay/fabric-3-research/fabric3-caliper/results/latency/paper-initial/tps_50
1,50,62.5,105,99.55,105.0,50,/Users/tanmay/fabric-3-research/fabric3-caliper/results/latency/paper-initial/tps_50
2,51,65.72549019607843,98,96.5,97.5,50,/Users/tanmay/fabric-3-research/fabric3-caliper/results/latency/paper-initial/tps_50
3,49,62.61224489795919,78,78.0,78.0,50,/Users/tanmay/fabric-3-research/fabric3-caliper/results/latency/paper-initial/tps_50
4,2,63.0,63,63.0,63.0,50,/Users/tanmay/fabric-3-research/fabric3-caliper/results/latency/paper-initial/tps_50
0,100,79.37,131,126.05,129.02,100,/Users/tanmay/fabric-3-research/fabric3-caliper/results/latency/paper-initial/tps_100
1,101,104.0,261,233.0,237.0,100,/Users/tanmay/fabric-3-research/fabric3-caliper/results/latency/paper-initial/tps_100
2,99,59.07070707070707,93,85.19999999999999,91.03999999999999,100,/Users/tanmay/fabric-3-research/fabric3-caliper/results/latency/paper-initial/tps_100
3,100,55.3,78,75.0,78.0,100,/Users/tanmay/fabric-3-research/fabric3-caliper/results/latency/paper-initial/tps_100
0,154,76.48701298701299,117,113.35,115.0,150,/Users/tanmay/fabric-3-research/fabric3-caliper/results/latency/paper-initial/tps_150
1,151,143.72847682119206,281,228.5,270.5,150,/Users/tanmay/fabric-3-research/fabric3-caliper/results/latency/paper-initial/tps_150
2,149,66.10738255033557,109,104.6,108.04000000000002,150,/Users/tanmay/fabric-3-research/fabric3-caliper/results/latency/paper-initial/tps_150
3,151,140.1523178807947,239,206.0,227.0,150,/Users/tanmay/fabric-3-research/fabric3-caliper/results/latency/paper-initial/tps_150
0,200,44.205,60,57.0,60.0,200,/Users/tanmay/fabric-3-research/fabric3-caliper/results/latency/paper-initial/tps_200
1,200,76.58,131,113.04999999999998,130.0,200,/Users/tanmay/fabric-3-research/fabric3-caliper/results/latency/paper-initial/tps_200
2,198,48.666666666666664,86,82.0,84.03,200,/Users/tanmay/fabric-3-research/fabric3-caliper/results/latency/paper-initial/tps_200
3,203,47.41871921182266,69,63.89999999999998,66.97999999999999,200,/Users/tanmay/fabric-3-research/fabric3-caliper/results/latency/paper-initial/tps_200
4,4,32.5,39,39.0,39.0,200,/Users/tanmay/fabric-3-research/fabric3-caliper/results/latency/paper-initial/tps_200
0,250,351.548,1548,932.65,1511.59,250,/Users/tanmay/fabric-3-research/fabric3-caliper/results/latency/paper-initial/tps_250
1,242,3730.9628099173556,5159,5043.9,5098.59,250,/Users/tanmay/fabric-3-research/fabric3-caliper/results/latency/paper-initial/tps_250
2,254,4593.594488188976,4938,4848.75,4902.88,250,/Users/tanmay/fabric-3-research/fabric3-caliper/results/latency/paper-initial/tps_250
3,253,3977.5296442687745,4330,4260.6,4299.96,250,/Users/tanmay/fabric-3-research/fabric3-caliper/results/latency/paper-initial/tps_250
4,6,3641.3333333333335,3671,3666.5,3670.1,250,/Users/tanmay/fabric-3-research/fabric3-caliper/results/latency/paper-initial/tps_250
